title,rating,username,description,date,image_urls,asin_number
Great for my mower,5.0 out of 5 stars,Not sure customer 🤔,Use for my zero turn mowers no issues,"Reviewed in the United States on October 10, 2022",,
Great synthetic oil,5.0 out of 5 stars,Misdonna,I liked it,"Reviewed in the United States on September 13, 2022",,
Impressed,5.0 out of 5 stars,Zoomungus,"Very impressive, I used it in my my 2013 tacoma with around 110k on it.","Reviewed in the United States on January 7, 2023",,
Good,5.0 out of 5 stars,Dax Skywalker,Way better than the crap from the oil change place.,"Reviewed in the United States on October 14, 2022",,
Great Value!,5.0 out of 5 stars,Ozzy,This is a great oil for a DIY oil change. Can’t beat the price either!,"Reviewed in the United States on January 22, 2023",,
Work on 04 titan,5.0 out of 5 stars,carlos j.,Go for it,"Reviewed in the United States on April 2, 2023",,
Mobil makes a good product,5.0 out of 5 stars,Devin Maldonado ,"Who knows if it's go or not? I've seen a bunch of videos about engine oil and what not, but I'm not expert. Mobil seems to make good quality products. Granted they are a bit more expensive than the competition. We'll see how it fares during winter. Project Farm don't let me down! (I drive a 2005 Subaru Forester with almost 230,000 miles on it)","Reviewed in the United States on December 5, 2022",,
Value for money,5.0 out of 5 stars,clifford young,My car,"Reviewed in the United States on March 16, 2023",,
Excellent!!!!,5.0 out of 5 stars,Kurt W. Caish,Mobil Oil is great and the price is almost half the price here on Amazon compared to most local Auto Parts Stores!!! Excellent!!!,"Reviewed in the United States on January 8, 2023",,
good product and price,5.0 out of 5 stars,samuel,good product and price,"Reviewed in the United States on January 31, 2023",,
Great price,5.0 out of 5 stars,Jeff Quade,Great price for a good quality motor oil.,"Reviewed in the United States on December 24, 2022",,
Good product and quick shipping...,5.0 out of 5 stars,Edward Moore,"I'm using this in my car that has over 200,000 miles. It shipped very quickly.","Reviewed in the United States on December 6, 2022",,
Meets expectations,5.0 out of 5 stars,Mil,Good value.  Quickly shipped,"Reviewed in the United States on January 13, 2023",,
It’s motor oil,5.0 out of 5 stars,Amazon Customer,Bought this oil for the name brand and cost. Using it now instead of the Valvoline High mileage,"Reviewed in the United States on November 24, 2022",,
good product,5.0 out of 5 stars,RON WEINER,"It's oil, what else can I say","Reviewed in the United States on December 20, 2022",,
Oil,5.0 out of 5 stars,L Terry,Great price and brand name product,"Reviewed in the United States on December 1, 2022",,
So far so good,5.0 out of 5 stars,Jake,"Bought this for my Honda accord, so far so good. No issues using this oil.","Reviewed in the United States on October 27, 2022",,
Top notch service,5.0 out of 5 stars,Adam H.,Top notch oil at a reasonable price,"Reviewed in the United States on April 1, 2023",,
Buy Major Brand on sale,5.0 out of 5 stars,Gunpowder & Lead,Always do oil change myself.  Stock up on brand name oil that is on sale.  Mobil has a sale now so this is it.  Got enough for two years.  That's how to fight the inflation.,"Reviewed in the United States on February 19, 2023",,
Works good and is one step down from Mobile 1 1,5.0 out of 5 stars,Matt Was,"Good price, better gas milage, and makes car quiet.","Reviewed in the United States on March 19, 2023",,
Great product at a great price,5.0 out of 5 stars,Michael Berry,. A well known brand that is not available within 60 miles of my house -  expertly delivery 🚚,"Reviewed in the United States on February 21, 2023",,
"Great product and great price, needs better packaging.",5.0 out of 5 stars,Dennis,"This was a great deal! Product arrived quickly (thanks UPS) but all three 5 quart containers were delivered in one package with no protection, box was torn, driver had to gently care to porch. I inspected immediately and found the product was okay. Thanks","Reviewed in the United States on January 1, 2023",,
Very oily,5.0 out of 5 stars,Ryan,This product was very oily and worked perfect for my car. Couldn't ask for a better hydrocarbon,"Reviewed in the United States on March 2, 2023",,
Great product,5.0 out of 5 stars,Mark Griner,Exactly what I ordered.,"Reviewed in the United States on March 24, 2023",,
good for my car,5.0 out of 5 stars,Os,I can rest knowing that my car has good synthetic oil that can last 3moths or more.,"Reviewed in the United States on February 16, 2023",,
"It's synthetic oil, duh",5.0 out of 5 stars,.,"Ok, so the delivered this to my house, cheaper then if I went out and bought it. I can't complain.","Reviewed in the United States on February 15, 2023",,
A+,5.0 out of 5 stars,Venger,"Great value for the price paid, at that time.","Reviewed in the United States on March 6, 2023",,
Excellent product,5.0 out of 5 stars,Juan Bautista,"I used for a 2006 Toyota Camry , usually use Mobil 1 but the price is too high. Now I replaced for Mobil high mileage 5w-30 full synthetic excellent price. My Toyota have 130 thousand miles and runs like new","Reviewed in the United States on April 6, 2023",,
Subaru Forester,5.0 out of 5 stars,Its_Highnoon,It’s in my 2005 forester.  It works and I have no complaints.  Give it a try it was cheaper then Amazon basics and it’s made by mobile,"Reviewed in the United States on April 15, 2023",,
Great oil,5.0 out of 5 stars,Longwaysback,Great oil have been using this oil for around 2 years and it does a great job.,"Reviewed in the United States on May 1, 2023",,
Very good plus easy to order & get quickly,5.0 out of 5 stars,Joe Smith,Very good. Last long,"Reviewed in the United States on May 15, 2023",,
Good,5.0 out of 5 stars,Luis Estremadoyro,Bueno,"Reviewed in the United States on May 17, 2023",,
Mobil.is THE oil,5.0 out of 5 stars,Strong,Great price to keep your engine running forever.,"Reviewed in the United States on April 30, 2023",,
Works for me.,5.0 out of 5 stars,Kane,Works for me but…how would I know if it’s a quality product? I’m not a chemist. I purchased it because it is in the lower price range and it’s a brand name.,"Reviewed in the United States on March 21, 2023",,
Same as original,5.0 out of 5 stars,Jaz,works great on my car just like the original mobil syntethic oil,"Reviewed in the United States on April 22, 2023",,
If I was a car...,5.0 out of 5 stars,dennis dunne,"This would be my diet.
Old clunker Subaru ran smoother.","Reviewed in the United States on April 19, 2023",,
Hard to find viscosity.,5.0 out of 5 stars,Logicman,This always seems to be ‘out’ at my auto parts places … glad to find it for reasonable dollars here.,"Reviewed in the United States on March 24, 2023",,
Genuine Mobile full synthetic oil,5.0 out of 5 stars,Jeffrey M. Rauch,This is genuine Mobil full synthetic oil delivered for less than I can buy it anywhere.  Can't go wrong with this purchase.,"Reviewed in the United States on May 19, 2023",,
No Driving,5.0 out of 5 stars,GreatOnion33,Same as local discount stores but stay home Bring it to you,"Reviewed in the United States on May 20, 2023",,
Cheaper than stores,5.0 out of 5 stars,Mopar Man,Good oil. Better price than can buy locally,"Reviewed in the United States on May 23, 2023",,
Bueno,5.0 out of 5 stars,Edwin,Muy bueno,"Reviewed in the United States on May 27, 2023",,
Antifreeze,5.0 out of 5 stars,Oil filter,Awesome,"Reviewed in the United States on May 28, 2023",,
Good value,5.0 out of 5 stars,User_123456789,Good price. Can’t go wrong if you are a 5k - 7k oil changer like me.,"Reviewed in the United States on May 15, 2023",,
Good value,5.0 out of 5 stars,Gruff Harris,"I was a bit weary of buying this oil since it was fairly inexpensive and not something I’ve found anywhere else, but it is Dexos Gen3 tested (which is pretty rigorous) so I decided to pull the trigger. I ran this oil for 4k in my vehicle that I drive upwards of 150 miles a day, constant tough city driving for work and it is still brown. Could easily run it longer and I’m sure it would hold up great. Not bad at all!","Reviewed in the United States on March 9, 2023",,
Cheap name brand oil,5.0 out of 5 stars,Amazon Customer,"I usually use Walmart's SuperTech
full synthetic, but it's difficult to find these days. This was the cheapest oil otherwise. It took a while to get delivered, but I wasn't in a rush. As long as it meets the GF-6 standard, I don't care what brand it is.","Reviewed in the United States on March 31, 2023",,
Great price,5.0 out of 5 stars,Camry ,Great price and great oil. This is Top notch oil for a fraction of the price!,"Reviewed in the United States on May 11, 2023",,
Great product,5.0 out of 5 stars,Jillian,I like this product and was surprised with the comparable prices.,"Reviewed in the United States on May 12, 2023",,
Oil,5.0 out of 5 stars,Brian Battisti SR,Best buy for the money,"Reviewed in the United States on June 19, 2023",,
Great motor oil.,5.0 out of 5 stars,Fred M. Dyches,It cleans and provides great lubrication.,"Reviewed in the United States on June 14, 2023",,
Just oil,5.0 out of 5 stars,Danny Brustad,Like it should be,"Reviewed in the United States on June 16, 2023",,
Great Value! Fast Delivery! - Will Buy Again,5.0 out of 5 stars,P Reily,Quality Product at a great price with super-fast delivery!,"Reviewed in the United States on June 10, 2023",,
Good value,5.0 out of 5 stars,Ed,Good value and will buy again.,"Reviewed in the United States on June 8, 2023",,
Change that oil often it saves the motor,5.0 out of 5 stars,Joe,I've used this oil for years no problem s,"Reviewed in the United States on June 5, 2023",,
Good Product,5.0 out of 5 stars,Balasree S. Pillai,Used for my Honda Pilot. Good results so far.,"Reviewed in the United States on June 5, 2023",,
Synthetic oil from a trusted company,5.0 out of 5 stars,Ak,"It's a synthetic oil from a well known and generally trusted company. I believe that synthetic oil protects my engine well, as I have not have had any issues with my vehicle. It seems to do its job well","Reviewed in the United States on May 16, 2023",,
Great item!,5.0 out of 5 stars,Khurram Rattani,It is as if you purchased from the store quality and fast from amazon logistics.,"Reviewed in the United States on May 30, 2023",,
Great,5.0 out of 5 stars,Sean clark,As advertised,"Reviewed in the United States on June 6, 2023",,
Good product,5.0 out of 5 stars,Stacey,Got wrong weight but good price,"Reviewed in the United States on July 11, 2023",,
Great price for full synthetic,5.0 out of 5 stars,jami iagulli,Can't beat this price for full synthetic oil and a complete oil job. Probably cost me $30 for oil and filter save me easily 50 -60 bucks,"Reviewed in the United States on June 24, 2023",,
Top synthetic oil!,5.0 out of 5 stars,Tim M.,Great price too at $23 for 5 qts.,"Reviewed in the United States on July 7, 2023",,
Good value,5.0 out of 5 stars,Henry G,Great price fast shipping. Very happy.,"Reviewed in the United States on July 3, 2023",,
Good price for synthetic oil,5.0 out of 5 stars,JM,I've been using synthetic brand Mobil oil in our cars & Trucks for years without any problems. The price on Amazon can't be beat. I always purchase a quality filter to replace the old one during my oil changes.,"Reviewed in the United States on June 9, 2023",,
Good value,5.0 out of 5 stars,Jeff S.,I used for a oil change for my ford explorer.,"Reviewed in the United States on June 27, 2023",,
Great value,5.0 out of 5 stars,Brian,Absolutely unbeatable price,"Reviewed in the United States on June 30, 2023",,
Engine will last with this oil.,5.0 out of 5 stars,Amazon Customer,This is the good stuff.,"Reviewed in the United States on June 24, 2023",,
Great Buy,5.0 out of 5 stars,RR Campbell,"It's full synthetic, brand name and priced below the competition.","Reviewed in the United States on June 19, 2023",,
No trans fats!,5.0 out of 5 stars,5150,Delicious!,"Reviewed in the United States on June 27, 2023",,
Oil,5.0 out of 5 stars,MAMABUG,"Good. I got a cheaper price than Walmart.  It's oil, do I need to say more","Reviewed in the United States on July 25, 2023",,
Good quality,5.0 out of 5 stars,Sigfred Flores,Been using this oils for my son's 2014 Toyota Corolla and it’s been very good. I recommend,"Reviewed in the United States on July 22, 2023",,
It’s a fine Oil.,5.0 out of 5 stars,JustLiftTheWeights,"I run almost anything synthetic in my cars and trucks to reasonable extent. This is a good value oil, even cheaper than the super tech from Wally at this point, so being delivered to my door is an added bonus. I’m running in my 2016 sierra 5.3, don’t care for how loud the engine is on 0/20, I have all the MDS disabled anyway.","Reviewed in the United States on June 24, 2023",,
Its oil.,5.0 out of 5 stars,John Hansen,Good quality and performance. Will buy again.,"Reviewed in the United States on July 26, 2023",,
Great Oil for low price.,5.0 out of 5 stars,Fair Perspective,This engine oil is one of the best in the market for this cheap price. Amazon is the best place to buy this because everywhere else this cost way more.,"Reviewed in the United States on July 11, 2023",,
I use this synthetic oil in my Tundra Patinum,5.0 out of 5 stars,BSG,"I changed the oil every 5,000 miles religiously. This oil works very well, as I have used mobil for ver 40 years.","Reviewed in the United States on July 16, 2023",,
Mobil Full Synthetic Oil,5.0 out of 5 stars,Steve McKee,Excellent Oil for the money. Good Value!,"Reviewed in the United States on July 20, 2023",,
Great price,5.0 out of 5 stars,Gibbskeg,Enough said for oil changes yourself its a great buy,"Reviewed in the United States on July 17, 2023",,
Nice,5.0 out of 5 stars,justin,Good price,"Reviewed in the United States on July 22, 2023",,
Longevity is great,5.0 out of 5 stars,Devin and Nathan,Works great,"Reviewed in the United States on July 21, 2023",,
"This is NOT ""Mobil 1"" oil like many either want to believe, or mistakenly think.",4.0 out of 5 stars,G. Gucciano,"This seems to be a decent oil, especially for the price @ 22.00. It's not Mobil 1, and I haven't been able to locate much information or studies on it. I prefer Castrol, but have been using this or Supertec in our 2nd car and haven't had any problems. Would recommend.","Reviewed in the United States on April 26, 2023",,
Quality,4.0 out of 5 stars,Amazon Customer,Price and shipping.,"Reviewed in the United States on February 13, 2023",,
